content_id,title,genre_id,subgenre,content_type,release_year,duration_minutes,language,age_rating,is_kids_content,is_active
C001,Nordic Crime Night,G001,Crime,series,2024,45,Finnish,16,false,true
C002,Weekend Laughs,G002,Sitcom,series,2025,25,Finnish,7,false,true
C003,Football Live Finland,G003,Football,live,2026,120,Finnish,0,false,true
C004,The Finnish Detective,G001,Crime,series,2023,50,Finnish,18,false,true
C005,Arctic Shadows,G001,Crime,movie,2022,115,Finnish,18,false,true
C006,Lake of Secrets,G001,Thriller,movie,2023,108,Finnish,16,false,true
C007,Summer of Love,G004,Romance,movie,2024,102,Finnish,12,false,true
C008,Forest Creatures,G005,Animation,movie,2022,78,Finnish,7,true,true
C009,Moomin Winter Magic,G005,Family,series,2024,22,Finnish,0,true,true
C010,Helsinki Hustle,G006,Drama,series,2025,55,Finnish,16,false,true
C011,Polar Night Express,G001,Crime,movie,2025,120,Finnish,18,false,true
C012,Rap with the Wind,G007,Music,series,2023,30,Finnish,12,false,true
C013,Science of Lapland,G008,Documentary,series,2024,48,Finnish,7,false,true
C014,Frozen Frames,G009,Sports,movie,2025,95,Finnish,12,false,true
C015,The Midnight Sun,G010,Adventure,movie,2023,112,Finnish,12,false,true
C016,Sauna Stories,G011,Comedy,series,2024,20,Finnish,12,false,true
C017,Aurora Borealis Live,G003,Nature,live,2026,90,Finnish,0,false,true
C018,Tango Under Snow,G012,Musical,movie,2022,98,Finnish,7,false,true
C019,Kalevala Reborn,G013,Fantasy,series,2025,60,Finnish,16,false,true
C020,Rally Kings,G009,Motorsports,series,2024,44,Finnish,7,false,true
C021,Island Hospital,G014,Medical,series,2023,52,Finnish,16,false,true
C022,The Last Fisherman,G015,Biography,movie,2024,88,Finnish,7,false,true
C023,Tampere Tales,G016,Slice of Life,series,2025,24,Finnish,12,false,true
C024,Winter War Heroes,G017,History,movie,2024,130,Finnish,16,false,true
C025,Puppy Patrol,G005,Kids,series,2025,15,Finnish,0,true,true
